"","web_url","snippet","print_page","source","pub_date","document_type","new_desk","type_of_material","X_id","word_count","score","uri","section_name","headline.main","headline.kicker","headline.content_kicker","headline.print_headline","headline.name","headline.seo","headline.sub","byline.original","byline.organization"
"232","https://www.nytimes.com/2018/03/26/dining/brass-bar-legacy-records-harrys.html","The glowing golden metal is nudging aside zinc, the traditional metal for bar tops.","3","The New York Times","2018-03-26T16:28:43+0000","article","Dining","News","5ab91fbe47de81a90121760d",235,0.0029836928,"nyt://article/e50298a4-605b-5f85-933c-eee740f69fad",NA,"The Brass Section Is at the Bar","Front Burner","Front Burner","To Admire: New Brass Sections Deserving of a Toast",NA,NA,NA,"By FLORENCE FABRICANT",NA
"233","https://www.nytimes.com/reuters/2018/03/23/business/23reuters-facebook-cambridge-analytica.html","A former Cambridge Analytica political consultant said the company's management misled the British public about work the firm did for a pro-Brexit group before the vote to leave the European Union, the Guardian reported on Friday.",NA,"Reuters","2018-03-23T20:05:50+0000","article","None","News","5ab55e2147de81a9012164cc",419,0.0029830772,"nyt://article/36d2abcb-850d-533a-9c74-bf002581eba1",NA,"Ex-Cambridge Analytica Insider Says Firm Worked for Pro-Brexit Group-Report",NA,NA,"Ex-Cambridge Analytica Insider Says Firm Worked for Pro-Brexit Group-Report",NA,NA,NA,"By REUTERS","REUTERS"
"234","https://www.nytimes.com/reuters/2018/03/28/business/28reuters-britain-stocks.html","A move into defensive stocks helped Britain's FTSE climb to a one-week high on Wednesday, shaking off broader concerns over the U.S. tech sector that rattled global equity markets. Shares in pharma firm Shire surged.",NA,"Reuters","2018-03-28T09:45:01+0000","article","None","News","5abb641f47de81a901218780",394,0.0029810595,"nyt://article/5864bf55-1e67-5697-ba27-ed3bad659f5a",NA,"Defensives Push FTSE to One-Week High as Shire Soars",NA,NA,"Defensives Push FTSE to One-Week High as Shire Soars",NA,NA,NA,"By REUTERS","REUTERS"
"235","https://www.nytimes.com/2018/03/22/opinion/nancy-pelosi.html","Also: Don’t delete Facebook. Regulate it.",NA,"The New York Times","2018-03-22T13:28:00+0000","article","OpEd","Op-Ed","5ab3af6347de81a9012153c5",814,0.0029780765,"nyt://article/87a9a7f0-028f-53dc-8eb8-1f421486cd7e",NA,"Does Nancy Pelosi Deserve to Keep her Job?","Op-Ed Columnist","Op-Ed Columnist","Does Nancy Pelosi Deserve to Keep her Job?",NA,NA,NA,"By DAVID LEONHARDT",NA
"236","https://www.nytimes.com/aponline/2018/03/25/us/politics/ap-us-not-real-news-obama-restitution.html","An online story falsely claims a federal appeals court ordered former President Barack Obama to pay $400 million in ""restitution"" to the United States for money supposedly lost in a transaction with ""hard-liners"" in Iran.",NA,"AP","2018-03-25T11:32:56+0000","article","None","News","5ab788ec47de81a901216d9f",232,0.0029588672,"nyt://article/15150472-ff7c-5686-a7b9-339a4737321e","Politics","NOT REAL NEWS: No Court Order for Obama to Pay $400 Million",NA,NA,"NOT REAL NEWS: No Court Order for Obama to Pay $400 Million",NA,NA,NA,"By THE ASSOCIATED PRESS","THE ASSOCIATED PRESS"
"237","https://www.nytimes.com/2018/03/22/business/youtube-gun-ban.html","The video streaming company said that it would ban videos promoting the sale or manufacture of firearms and their accessories.","2","The New York Times","2018-03-22T14:50:29+0000","article","Business","News","5ab3c2b847de81a90121547d",429,0.002957978,"nyt://article/c446af84-56c5-55b4-acae-1346afff1a71",NA,"YouTube to Ban Videos Promoting Gun Sales",NA,NA,"YouTube to Ban Videos That Promote The Construction or Sale of Firearms",NA,NA,NA,"By NIRAJ CHOKSHI",NA
"238","https://www.nytimes.com/reuters/2018/03/27/business/27reuters-global-markets.html","Asian shares fell on Wednesday after Wall Street was knocked hard by concerns about tighter controls on the tech industry, denting a brief global equities recovery driven by hopes that the risk of a U.S.-China trade war was easing.",NA,"Reuters","2018-03-27T05:22:59+0000","article","None","News","5ab9d53747de81a901217b43",635,0.0029426564,"nyt://article/f79c9e61-f449-5e8d-a15b-30772f35a634",NA,"Asian Shares Skid as US Tech Firms Face More Scrutiny",NA,NA,"Asian Shares Skid as US Tech Firms Face More Scrutiny",NA,NA,NA,"By REUTERS","REUTERS"
"239","https://www.nytimes.com/aponline/2018/03/28/world/asia/ap-financial-markets-.html","Shares fell in Europe and Asia on Wednesday as tech stocks extended losses following sell-offs of their U.S. peers overnight. Investors are selling technology-related shares on concern governments might tighten scrutiny over Facebook after it was ...",NA,"AP","2018-03-28T07:18:05+0000","article","None","News","5abb41af47de81a901218697",335,0.002934969,"nyt://article/6f721432-b408-5fb7-8fb4-21a60cd8a52a","Asia Pacific","Global Stock Markets Sink, Slammed by Tech Losses",NA,NA,"Global Stock Markets Sink, Slammed by Tech Losses",NA,NA,NA,"By THE ASSOCIATED PRESS","THE ASSOCIATED PRESS"
"240","https://www.nytimes.com/aponline/2018/03/21/world/europe/ap-soc-britain-spy-world-cup.html","British Foreign Secretary Boris Johnson says it is sickening to think of President Vladimir Putin ""glorifying"" in Russia hosting the World Cup.",NA,"AP","2018-03-21T16:12:16+0000","article","None","News","5ab2846347de81a901214709",240,0.002920814,"nyt://article/090c8c6f-c28b-57d2-8129-b87a8b012ae6","Europe","Johnson: Putin Glorifying Hosting World Cup Is Sickening",NA,NA,"Johnson: Putin Glorifying Hosting World Cup Is Sickening",NA,NA,NA,"By THE ASSOCIATED PRESS","THE ASSOCIATED PRESS"
"241","https://www.nytimes.com/2018/03/22/business/youtube-gun-ban.html","The video streaming company said that it would ban videos promoting the sale or manufacture of firearms and their accessories.","2","The New York Times","2018-03-22T14:50:29+0000","article","Business","News","5ab3c2b847de81a90121547d",429,0.0029221578,"nyt://article/c446af84-56c5-55b4-acae-1346afff1a71",NA,"YouTube to Ban Videos Promoting Gun Sales",NA,NA,"YouTube to Ban Videos That Promote The Construction or Sale of Firearms",NA,NA,NA,"By NIRAJ CHOKSHI",NA
